id,(Intercept),StageActive,StageAdvanced,StageBloat,StageDry
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;__,3.7405566330748456,-1.9391808602370109,-2.212552910420535,-0.20308973597080685,-3.7745325216321977
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;__,-0.6728047217260502,0.16043933855522607,1.615490378525156,-0.3094567853978366,2.424491372452298
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;__,-0.44872061264684904,0.010188357787637492,-0.129605363371611,0.03494231109563406,0.03144143497967711
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Kurthia,1.8744726853110016,0.4520664267335076,-0.5312784213651605,0.2050521113809184,-1.0869074224652375
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__uncultured,-0.48314487794077754,0.0627531452062674,0.1547910657364725,0.05657662850715112,-0.42620326543622256
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Tissierella,-0.6767341496011735,1.8163775794202923,2.6179002203543256,-0.16328073790003286,3.837914440829405
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium-Methylorubrum,-0.30018815351357,-0.8988020029075939,-1.0449820200906739,-0.4374599101578669,-0.7471771407086055
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus,0.18026470793065918,-1.318860601237978,-0.19459379964706525,-0.2366515767154308,0.18472318191060977
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1,4.454141824145512,-4.384731696299923,-4.548359362508705,-2.58264560987977,-5.818705481819804
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Tepidimicrobium,-0.6529568999599555,1.0857712739708818,1.7587240929651506,-0.33493995009531313,3.234727664641697
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc,1.5456455295027043,-0.22681431978537658,-1.0856622811423158,0.11672183231278022,-1.6131972820618694
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,2.750044283886599,-0.42866790889743533,-1.2287108582059467,-0.9675535067378626,-2.3582577989675726
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Vagococcaceae;g__Vagococcus,2.262256116046166,3.09562963714902,2.935319660407376,2.0505328737882844,2.251254176277781
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia,-0.1691345323526503,-1.0230203157264746,-1.0774978724169157,-0.4427143538515954,-0.38452098781733035
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter,2.491973234390125,-0.33363721345495706,0.21489033608458674,-0.7741496110136878,0.30884416055253483
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Vitreoscilla,-0.6905169147490814,0.4422768776085316,0.11977586742357305,0.02063030828043738,-0.26155483672440616
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium,0.45833605583385584,-1.4696410394405963,-1.5859267485819482,0.18690288860133297,-1.2865414814735328
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Providencia,1.7551148809053334,0.6209376103203111,0.88105388189975,1.5497573265825422,-0.275798921867652
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Listeriaceae;g__Brochothrix,0.21725569816944756,-0.65824236495732,-0.7307884150146403,-0.32285976872843714,-1.0043823174344029
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Comamonas,-0.4137940475313266,0.10765267376607535,1.0802708127022052,-0.107753032008648,1.3768950497249284
