id,(Intercept),StageActive,StageAdvanced,StageBloat,StageDry
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;__,0.1698211498252271,0.28026216854445307,0.32667596900155604,0.30128822592426885,0.43111579516746623
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;__,0.2341365980892724,0.3396326317919612,0.4098026828675287,0.3169009038613293,0.6125790270815553
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;__,0.04657219716721651,0.1751121689344779,0.35118615593806224,0.0720954278011506,0.6949105897537141
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;__,0.06775381587042781,0.15853728790876231,0.22313106540503475,0.13237946023612865,0.46443658405765675
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Kurthia,0.20343084841662415,0.31830181196730273,0.40608068330900504,0.3150394251282288,0.5883135383808472
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__uncultured,0.0655956934984463,0.14995892732258925,0.23894856327593772,0.13087339984048674,0.33051890930453315
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Tissierella,0.0501134217735947,0.23184588436235207,0.31839876289308877,0.10307316658467257,0.4408918191014478
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium-Methylorubrum,0.08604227000654555,0.11673836870504882,0.12453371412561871,0.12113778359616094,0.34727262021964317
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus,0.14697048797462772,0.17449538048853117,0.30227324712799986,0.2207319603611626,0.5206719042149095
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1,0.23732141138603607,0.32822736034271355,0.3761273926637591,0.3564239451417588,0.3292181195567734
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Tepidimicrobium,0.055942108724568444,0.2366678789092767,0.3402122145093136,0.08048311532539265,0.6174019327150227
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc,0.1915312276607834,0.28212657939422936,0.3551001062333514,0.3146733421111128,0.5628961580802521
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,0.23026993552507508,0.3655721431251877,0.4833378656971982,0.36414380089288356,0.7031084665097282
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Vagococcaceae;g__Vagococcus,0.22559412985995225,0.30961317858838616,0.3336018269424649,0.3482470960438707,0.5276647043576942
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia,0.09635767426777786,0.1253704469986419,0.14167801433467325,0.1408564362510602,0.36155392321190466
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter,0.1856147003554235,0.2656143883732707,0.3043151496803937,0.27653209631358705,0.5340347180595292
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Vitreoscilla,0.04775679065960737,0.17110749727088848,0.18696272254329674,0.10862731350249775,0.29307222324147675
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium,0.1372174479957773,0.17295158286005777,0.19318882753011088,0.26146073106326806,0.41748976316414144
